Date,Portfolio Value
2021-08-11 00:00:00-04:00,251554.13920956358
2021-08-12 00:00:00-04:00,253155.47515460712
2021-08-13 00:00:00-04:00,255085.62572347053
2021-08-16 00:00:00-04:00,255215.2422650615
2021-08-17 00:00:00-04:00,253923.6314513567
2021-08-18 00:00:00-04:00,252659.31002083106
2021-08-19 00:00:00-04:00,250845.73515165393
2021-08-20 00:00:00-04:00,250762.8334442607
2021-08-23 00:00:00-04:00,252916.4345294645
2021-08-24 00:00:00-04:00,252525.1335569016
2021-08-25 00:00:00-04:00,252268.38481366503
2021-08-26 00:00:00-04:00,253096.39125094554
2021-08-27 00:00:00-04:00,254181.09293320897
2021-08-30 00:00:00-04:00,255472.50173857965
2021-08-31 00:00:00-04:00,255268.74871174817
2021-09-01 00:00:00-04:00,255618.955828305
2021-09-02 00:00:00-04:00,255702.0186697657
2021-09-03 00:00:00-04:00,255620.83087877484
2021-09-07 00:00:00-04:00,254657.986642095
2021-09-08 00:00:00-04:00,254027.09551507307
2021-09-09 00:00:00-04:00,253066.14746917706
2021-09-10 00:00:00-04:00,251979.46670375412
2021-09-13 00:00:00-04:00,251537.12043919662
2021-09-14 00:00:00-04:00,250520.33604740008
2021-09-15 00:00:00-04:00,250854.86095498165
2021-09-16 00:00:00-04:00,250698.71967797217
2021-09-17 00:00:00-04:00,249776.55570142585
2021-09-20 00:00:00-04:00,247715.4936715242
2021-09-21 00:00:00-04:00,246414.68876494633
2021-09-22 00:00:00-04:00,246336.4304529882
2021-09-23 00:00:00-04:00,246779.86889163166
2021-09-24 00:00:00-04:00,246854.80518406944
2021-09-27 00:00:00-04:00,247359.73116090594
2021-09-28 00:00:00-04:00,247495.4235578268
2021-09-29 00:00:00-04:00,248361.43424405842
2021-09-30 00:00:00-04:00,246532.50000366213
2021-10-01 00:00:00-04:00,245979.03289601774
2021-10-04 00:00:00-04:00,245453.242515254
2021-10-05 00:00:00-04:00,247439.58946424554
2021-10-06 00:00:00-04:00,248463.2397023338
2021-10-07 00:00:00-04:00,249684.59840822034
